"Nom";"Licences - Entité";"Éditeur";"Versions - Nom";"Versions - Système d'exploitation";"Licences - Nombre d'installations";"Licences - Nombre de licences";
"Microsoft OneDrive";"Root entity";"Microsoft Corporation";"20.124.0621.0006";"Windows";"1";"0";
"Microsoft OneNote MUI (French) 2013";"Root entity";"Microsoft Corporation";"15.0.4569.1506";"Windows";"1";"0";
"Microsoft Outlook MUI (French) 2013";"Root entity";"Microsoft Corporation";"15.0.4569.1506";"Windows";"1";"0";
"Microsoft Pay";"Root entity";"Microsoft Platform Extensions";"2.4.18324.0";"Windows";"1";"0";
"Microsoft Pay";"Root entity";"Microsoft Corporation";"2.4.18324.0";"Windows";"1";"0";
"Microsoft People";"Root entity";"Microsoft Platform Extensions";"10.1909.10841.0";"Windows";"1";"0";
"Microsoft People";"Root entity";"Microsoft Corporation";"10.1909.10841.0";"Windows";"1";"0";
"Microsoft Photos";"Root entity";"Microsoft Platform Extensions";"2020.20070.10002.0";"Windows";"1";"0";
"Microsoft Photos";"Root entity";"Microsoft Corporation";"2020.20070.10002.0";"Windows";"1";"0";
"Microsoft PowerPoint MUI (French) 2013";"Root entity";"Microsoft Corporation";"15.0.4569.1506";"Windows";"1";"0";
"Microsoft Project Professional 2016 - en-us";"Root entity";"Microsoft Corporation";"16.0.13001.20384";"Windows";"1";"0";
"Microsoft Project Professionnel 2016 - fr-fr";"Root entity";"Microsoft Corporation";"16.0.13001.20384";"Windows";"1";"0";
"Microsoft Publisher MUI (French) 2013";"Root entity";"Microsoft Corporation";"15.0.4569.1506";"Windows";"1";"0";
"Microsoft Silverlight";"Root entity";"Microsoft Corporation";"5.1.50918.0";"Windows";"2";"0";
"Microsoft Solitaire Collection";"Root entity";"Microsoft Platform Extensions";"4.7.7162.0";"Windows";"1";"0";
"Microsoft Solitaire Collection";"Root entity";"Microsoft Corporation";"4.7.7162.0";"Windows";"1";"0";
"Microsoft Sticky Notes";"Root entity";"Microsoft Platform Extensions";"3.7.140.0
3.7.142.0";"Windows";"1";"0";
"Microsoft Sticky Notes";"Root entity";"Microsoft Corporation";"3.7.142.0";"Windows";"1";"0";
"Microsoft Store";"Root entity";"Microsoft Platform Extensions";"12007.1001.2.0";"Windows";"1";"0";
"Microsoft Store";"Root entity";"Microsoft Corporation";"12007.1001.2.0";"Windows";"1";"0";
"Microsoft Tips";"Root entity";"Microsoft Platform Extensions";"9.8.31681.0";"Windows";"1";"0";
"Microsoft Tips";"Root entity";"Microsoft Corporation";"9.8.31681.0";"Windows";"1";"0";
